Sample	Bacteria	Eukaryota	Viruses	Archaea	Unclassified
MUX10051.WHB7602.unmapped-both-read-and-mate	2726.0	956.0	nan	nan	43549.0
MUX10051.WHB7603.unmapped-both-read-and-mate	2236.0	825.0	2.0	1.0	34590.0
MUX10051.WHB7604.unmapped-both-read-and-mate	2785.0	751.0	5.0	2.0	32486.0
MUX10051.WHB7605.unmapped-both-read-and-mate	2484.0	838.0	nan	1.0	40892.0
MUX10051.WHB7606.unmapped-both-read-and-mate	3236.0	893.0	11.0	1.0	42058.0
MUX10052.WHB7607.unmapped-both-read-and-mate	2575.0	1100.0	24.0	nan	50920.0
MUX10052.WHB7608.unmapped-both-read-and-mate	1354.0	812.0	4.0	nan	36353.0
MUX10052.WHB7609.unmapped-both-read-and-mate	2763.0	710.0	7.0	1.0	30109.0
MUX10052.WHB7610.unmapped-both-read-and-mate	2021.0	956.0	nan	nan	43820.0
MUX10052.WHB7611.unmapped-both-read-and-mate	3260.0	1247.0	nan	nan	54444.0
MUX10053.WHB7612.unmapped-both-read-and-mate	2334.0	1284.0	1.0	1.0	50240.0
MUX10053.WHB7613.unmapped-both-read-and-mate	2374.0	1092.0	38.0	2.0	44843.0
MUX10053.WHB7614.unmapped-both-read-and-mate	2569.0	1365.0	nan	1.0	54468.0
MUX10053.WHB7616.unmapped-both-read-and-mate	4125.0	1135.0	nan	1.0	48598.0
MUX10053.WHB7618.unmapped-both-read-and-mate	3062.0	1265.0	5.0	1.0	50595.0
MUX10054.WHB7619.unmapped-both-read-and-mate	2683.0	765.0	3115.0	1.0	40523.0
MUX10054.WHB7620.unmapped-both-read-and-mate	2009.0	1154.0	3.0	nan	49167.0
MUX10054.WHB7621.unmapped-both-read-and-mate	4307.0	1331.0	2.0	nan	63169.0
MUX10054.WHB7622.unmapped-both-read-and-mate	4086.0	1147.0	nan	nan	46417.0
MUX10054.WHB7623.unmapped-both-read-and-mate	1997.0	1029.0	3.0	1.0	43353.0
MUX10055.WHB7624.unmapped-both-read-and-mate	7093.0	1105.0	5.0	nan	48470.0
MUX10055.WHB7625.unmapped-both-read-and-mate	4497.0	1017.0	4.0	2.0	47424.0
MUX10055.WHB7626.unmapped-both-read-and-mate	2440.0	1040.0	nan	nan	43056.0
MUX10055.WHB7627.unmapped-both-read-and-mate	2496.0	911.0	9.0	nan	38255.0
MUX10055.WHB7628.unmapped-both-read-and-mate	2550.0	843.0	9.0	nan	35319.0
MUX10056.WHB7629.unmapped-both-read-and-mate	2216.0	1213.0	nan	1.0	54459.0
MUX10056.WHB7630.unmapped-both-read-and-mate	2557.0	866.0	nan	nan	37306.0
MUX10056.WHB7631.unmapped-both-read-and-mate	2463.0	1392.0	nan	nan	60993.0
MUX10056.WHB7632.unmapped-both-read-and-mate	2936.0	820.0	4.0	1.0	33875.0
MUX10057.WHB7634.unmapped-both-read-and-mate	1803.0	585.0	1.0	1.0	15173.0
MUX10057.WHB7635.unmapped-both-read-and-mate	1589.0	517.0	nan	nan	13647.0
MUX10057.WHB7636.unmapped-both-read-and-mate	3059.0	621.0	nan	nan	22606.0
