Sample	Proteobacteria	Chordata	Actinobacteria	Firmicutes	Bacteroidetes	Other	Unclassified
MUX10043.WHB7556.unmapped-both-read-and-mate	7046.0	493.0	138.0	17.0	4.0	30.0	12524.0
MUX10043.WHB7557.unmapped-both-read-and-mate	3042.0	524.0	72.0	7.0	2.0	13.0	10534.0
MUX10043.WHB7558.unmapped-both-read-and-mate	2936.0	567.0	76.0	6.0	1.0	14.0	10111.0
MUX10043.WHB7559.unmapped-both-read-and-mate	5019.0	545.0	41.0	5.0	3.0	29.0	12138.0
MUX10044.WHB7564.unmapped-both-read-and-mate	7382.0	582.0	98.0	9.0	8.0	46.0	13695.0
MUX10044.WHB7565.unmapped-both-read-and-mate	3227.0	362.0	54.0	9.0	2.0	9.0	7646.0
MUX10044.WHB7566.unmapped-both-read-and-mate	1657.0	515.0	15.0	3.0	1.0	9.0	9209.0
MUX10044.WHB7567.unmapped-both-read-and-mate	7000.0	537.0	68.0	15.0	2.0	38.0	12753.0
MUX10045.WHB7568.unmapped-both-read-and-mate	7303.0	467.0	101.0	9.0	9.0	55.0	11247.0
MUX10045.WHB7569.unmapped-both-read-and-mate	4411.0	581.0	49.0	8.0	4.0	39.0	9501.0
MUX10045.WHB7570.unmapped-both-read-and-mate	3129.0	544.0	29.0	3.0	2.0	14.0	8198.0
MUX10045.WHB7576.unmapped-both-read-and-mate	3084.0	497.0	33.0	7.0	3.0	19.0	7419.0
MUX10046.WHB7571.unmapped-both-read-and-mate	1739.0	554.0	23.0	3.0	4.0	10.0	8355.0
MUX10046.WHB7573.unmapped-both-read-and-mate	6986.0	412.0	100.0	16.0	4.0	42.0	10996.0
MUX10046.WHB7574.unmapped-both-read-and-mate	1979.0	520.0	28.0	5.0	3.0	17.0	7236.0
MUX10046.WHB7575.unmapped-both-read-and-mate	3799.0	573.0	51.0	4.0	4.0	22.0	11551.0
MUX10046.WHB7577.unmapped-both-read-and-mate	4219.0	566.0	120.0	33.0	3.0	30.0	10242.0
MUX10047.WHB7578.unmapped-both-read-and-mate	1614.0	465.0	25.0	7.0	2.0	10.0	6943.0
MUX10047.WHB7579.unmapped-both-read-and-mate	3119.0	443.0	33.0	5.0	7.0	15.0	7840.0
MUX10047.WHB7580.unmapped-both-read-and-mate	1885.0	472.0	45.0	22.0	7.0	13.0	6251.0
MUX10047.WHB7581.unmapped-both-read-and-mate	1196.0	435.0	23.0	7.0	nan	2.0	5789.0
MUX10047.WHB7583.unmapped-both-read-and-mate	4940.0	476.0	43.0	7.0	2.0	33.0	9924.0
MUX10048.WHB7586.unmapped-both-read-and-mate	2965.0	400.0	26.0	3.0	2.0	23.0	6821.0
MUX10048.WHB7588.unmapped-both-read-and-mate	2581.0	417.0	23.0	4.0	nan	26.0	6394.0
MUX10048.WHB7589.unmapped-both-read-and-mate	1495.0	439.0	41.0	8.0	2.0	8.0	5649.0
MUX10048.WHB7590.unmapped-both-read-and-mate	2068.0	473.0	48.0	3.0	5.0	12.0	6267.0
MUX10049.WHB7591.unmapped-both-read-and-mate	2932.0	799.0	29.0	9.0	1.0	11.0	33753.0
MUX10049.WHB7592.unmapped-both-read-and-mate	2447.0	831.0	48.0	9.0	2.0	22.0	33364.0
MUX10049.WHB7593.unmapped-both-read-and-mate	2085.0	756.0	34.0	6.0	1.0	22.0	33316.0
MUX10049.WHB7594.unmapped-both-read-and-mate	2680.0	866.0	29.0	10.0	1.0	28.0	33112.0
MUX10049.WHB7595.unmapped-both-read-and-mate	2032.0	747.0	27.0	6.0	2.0	14.0	30405.0
MUX10050.WHB7597.unmapped-both-read-and-mate	1345.0	764.0	17.0	3.0	1.0	7.0	27388.0
MUX10050.WHB7598.unmapped-both-read-and-mate	1630.0	866.0	20.0	6.0	3.0	11.0	32323.0
MUX10050.WHB7599.unmapped-both-read-and-mate	2050.0	1075.0	36.0	9.0	3.0	15.0	46940.0
MUX10050.WHB7600.unmapped-both-read-and-mate	3097.0	773.0	79.0	4.0	6.0	22.0	32157.0
MUX10050.WHB7601.unmapped-both-read-and-mate	1997.0	1038.0	31.0	8.0	2.0	19.0	47264.0
MUX10051.WHB7602.unmapped-both-read-and-mate	2686.0	956.0	19.0	2.0	1.0	18.0	43549.0
MUX10051.WHB7603.unmapped-both-read-and-mate	2181.0	825.0	25.0	5.0	1.0	27.0	34590.0
MUX10051.WHB7604.unmapped-both-read-and-mate	2711.0	751.0	48.0	4.0	3.0	26.0	32486.0
MUX10051.WHB7605.unmapped-both-read-and-mate	2321.0	838.0	135.0	6.0	2.0	21.0	40892.0
MUX10051.WHB7606.unmapped-both-read-and-mate	3148.0	893.0	60.0	6.0	7.0	27.0	42058.0
MUX10052.WHB7607.unmapped-both-read-and-mate	2511.0	1100.0	30.0	10.0	8.0	40.0	50920.0
MUX10052.WHB7608.unmapped-both-read-and-mate	1320.0	812.0	21.0	5.0	5.0	7.0	36353.0
MUX10052.WHB7609.unmapped-both-read-and-mate	2692.0	710.0	42.0	7.0	6.0	24.0	30109.0
MUX10052.WHB7610.unmapped-both-read-and-mate	1955.0	956.0	41.0	8.0	6.0	11.0	43820.0
MUX10052.WHB7611.unmapped-both-read-and-mate	3175.0	1247.0	40.0	20.0	5.0	20.0	54444.0
MUX10053.WHB7612.unmapped-both-read-and-mate	2277.0	1284.0	35.0	5.0	3.0	16.0	50240.0
MUX10053.WHB7613.unmapped-both-read-and-mate	2331.0	1092.0	18.0	5.0	3.0	57.0	44843.0
MUX10053.WHB7614.unmapped-both-read-and-mate	2513.0	1365.0	22.0	8.0	4.0	23.0	54468.0
MUX10053.WHB7616.unmapped-both-read-and-mate	3988.0	1135.0	78.0	25.0	11.0	24.0	48598.0
MUX10053.WHB7618.unmapped-both-read-and-mate	3003.0	1265.0	30.0	6.0	2.0	27.0	50595.0
MUX10054.WHB7619.unmapped-both-read-and-mate	2635.0	765.0	29.0	6.0	4.0	3125.0	40523.0
MUX10054.WHB7620.unmapped-both-read-and-mate	1972.0	1154.0	19.0	2.0	1.0	18.0	49167.0
MUX10054.WHB7621.unmapped-both-read-and-mate	4200.0	1331.0	55.0	18.0	2.0	34.0	63169.0
MUX10054.WHB7622.unmapped-both-read-and-mate	3996.0	1147.0	45.0	17.0	4.0	24.0	46417.0
MUX10054.WHB7623.unmapped-both-read-and-mate	1963.0	1029.0	19.0	4.0	1.0	14.0	43353.0
MUX10055.WHB7624.unmapped-both-read-and-mate	6896.0	1105.0	114.0	12.0	6.0	70.0	48470.0
MUX10055.WHB7625.unmapped-both-read-and-mate	3955.0	1017.0	117.0	400.0	4.0	27.0	47424.0
MUX10055.WHB7626.unmapped-both-read-and-mate	2405.0	1040.0	17.0	5.0	2.0	11.0	43056.0
MUX10055.WHB7627.unmapped-both-read-and-mate	2445.0	911.0	29.0	4.0	1.0	26.0	38255.0
MUX10055.WHB7628.unmapped-both-read-and-mate	2501.0	843.0	28.0	3.0	1.0	26.0	35319.0
MUX10056.WHB7629.unmapped-both-read-and-mate	2157.0	1213.0	34.0	5.0	4.0	17.0	54459.0
MUX10056.WHB7630.unmapped-both-read-and-mate	2508.0	866.0	26.0	8.0	3.0	12.0	37306.0
MUX10056.WHB7631.unmapped-both-read-and-mate	2406.0	1392.0	25.0	9.0	1.0	22.0	60993.0
MUX10056.WHB7632.unmapped-both-read-and-mate	2881.0	820.0	30.0	4.0	2.0	24.0	33875.0
MUX10057.WHB7634.unmapped-both-read-and-mate	1771.0	585.0	12.0	6.0	1.0	15.0	15173.0
MUX10057.WHB7635.unmapped-both-read-and-mate	1561.0	517.0	16.0	3.0	3.0	6.0	13647.0
MUX10057.WHB7636.unmapped-both-read-and-mate	2977.0	621.0	34.0	28.0	2.0	18.0	22606.0
MUX10057.WHB7637.unmapped-both-read-and-mate	3076.0	611.0	33.0	15.0	1.0	26.0	18047.0
MUX10057.WHB7638.unmapped-both-read-and-mate	2135.0	640.0	23.0	3.0	4.0	17.0	16739.0
MUX10058.WHB7639.unmapped-both-read-and-mate	1789.0	536.0	18.0	3.0	nan	11.0	11675.0
MUX10058.WHB7640.unmapped-both-read-and-mate	1772.0	493.0	26.0	nan	3.0	7.0	11735.0
MUX10058.WHB7641.unmapped-both-read-and-mate	1971.0	526.0	292.0	4.0	2.0	26.0	10980.0
MUX10058.WHB7642.unmapped-both-read-and-mate	1932.0	539.0	26.0	10.0	nan	19.0	10249.0
MUX10058.WHB7643.unmapped-both-read-and-mate	1623.0	475.0	17.0	2.0	2.0	6.0	10136.0
MUX10059.WHB7644.unmapped-both-read-and-mate	2689.0	427.0	34.0	4.0	3.0	23.0	9840.0
MUX10059.WHB7645.unmapped-both-read-and-mate	1902.0	461.0	88.0	9.0	3.0	17.0	8608.0
MUX10059.WHB7646.unmapped-both-read-and-mate	3294.0	512.0	29.0	3.0	4.0	28.0	11664.0
