Sample	Pseudomonadaceae	Sphingomonadaceae	Hominidae	Alcaligenaceae	Bradyrhizobiaceae	Other	Unclassified
MUX10036.WHB6566.unmapped-both-read-and-mate	3.0	13.0	844.0	3.0	958.0	301.0	27265.0
MUX10036.WHB6567.unmapped-both-read-and-mate	10.0	15.0	882.0	1.0	1180.0	372.0	26677.0
MUX10036.WHB6568.unmapped-both-read-and-mate	28.0	75.0	965.0	9.0	3758.0	988.0	31092.0
MUX10037.WHB6569.unmapped-both-read-and-mate	23.0	33.0	1131.0	10.0	2087.0	629.0	29850.0
MUX10037.WHB6571.unmapped-both-read-and-mate	18.0	16.0	1006.0	8.0	1243.0	434.0	28019.0
MUX10037.WHB6572.unmapped-both-read-and-mate	38.0	51.0	1408.0	15.0	3453.0	1005.0	44849.0
MUX10037.WHB6573.unmapped-both-read-and-mate	15.0	12.0	1055.0	1.0	1194.0	399.0	31157.0
MUX10038.WHB6574.unmapped-both-read-and-mate	14.0	28.0	828.0	4.0	1616.0	447.0	23101.0
MUX10038.WHB6575.unmapped-both-read-and-mate	7.0	15.0	1130.0	3.0	1135.0	395.0	32009.0
MUX10038.WHB6577.unmapped-both-read-and-mate	18.0	26.0	959.0	4.0	1992.0	652.0	27990.0
MUX10038.WHB6578.unmapped-both-read-and-mate	10.0	24.0	1155.0	4.0	1344.0	460.0	35859.0
MUX10038.WHB6583.unmapped-both-read-and-mate	22.0	34.0	1237.0	6.0	2160.0	630.0	38430.0
MUX10039.WHB6452.unmapped-both-read-and-mate	16.0	27.0	1123.0	5.0	1779.0	616.0	31525.0
MUX10039.WHB6584.unmapped-both-read-and-mate	15.0	17.0	997.0	2.0	1238.0	411.0	29467.0
MUX10039.WHB6585.unmapped-both-read-and-mate	11.0	23.0	1267.0	nan	1295.0	432.0	33684.0
MUX10039.WHB6587.unmapped-both-read-and-mate	8.0	16.0	1084.0	2.0	1027.0	358.0	33169.0
MUX10039.WHB6588.unmapped-both-read-and-mate	5.0	18.0	1102.0	4.0	1017.0	276.0	31202.0
MUX10040.WHB6461.unmapped-both-read-and-mate	6.0	19.0	666.0	10.0	1399.0	430.0	18323.0
MUX10040.WHB6481.unmapped-both-read-and-mate	7.0	14.0	715.0	2.0	685.0	267.0	19469.0
MUX10040.WHB6484.unmapped-both-read-and-mate	18.0	26.0	766.0	7.0	2277.0	659.0	24598.0
MUX10040.WHB6492.unmapped-both-read-and-mate	11.0	23.0	718.0	8.0	1886.0	570.0	26989.0
MUX10040.WHB6512.unmapped-both-read-and-mate	8.0	19.0	804.0	4.0	1105.0	360.0	23990.0
MUX10041.WHB6496.unmapped-both-read-and-mate	12.0	15.0	513.0	7.0	1275.0	444.0	6190.0
MUX10041.WHB6579.unmapped-both-read-and-mate	9.0	18.0	355.0	4.0	882.0	378.0	4588.0
MUX10041.WHB6586.unmapped-both-read-and-mate	12.0	19.0	501.0	3.0	1085.0	435.0	5890.0
MUX10041.WHB7554.unmapped-both-read-and-mate	20.0	46.0	472.0	10.0	2941.0	914.0	7473.0
MUX10041.WHB7562.unmapped-both-read-and-mate	16.0	31.0	388.0	3.0	1685.0	453.0	5425.0
MUX10042.WHB6535.unmapped-both-read-and-mate	7.0	18.0	575.0	1.0	1090.0	345.0	6474.0
MUX10042.WHB6537.unmapped-both-read-and-mate	7.0	14.0	471.0	nan	683.0	239.0	5520.0
MUX10042.WHB6540.unmapped-both-read-and-mate	14.0	25.0	542.0	1.0	1200.0	524.0	6833.0
MUX10042.WHB6548.unmapped-both-read-and-mate	12.0	18.0	506.0	3.0	991.0	492.0	5796.0
MUX10042.WHB6576.unmapped-both-read-and-mate	5.0	13.0	483.0	8.0	1044.0	377.0	6016.0
MUX10043.WHB7555.unmapped-both-read-and-mate	37.0	62.0	576.0	9.0	4214.0	1075.0	12209.0
MUX10043.WHB7556.unmapped-both-read-and-mate	27.0	79.0	493.0	20.0	5480.0	1629.0	12524.0
MUX10043.WHB7557.unmapped-both-read-and-mate	21.0	29.0	524.0	11.0	2399.0	676.0	10534.0
MUX10043.WHB7558.unmapped-both-read-and-mate	15.0	41.0	567.0	6.0	2256.0	715.0	10111.0
MUX10043.WHB7559.unmapped-both-read-and-mate	14.0	41.0	545.0	12.0	3919.0	1111.0	12138.0
MUX10044.WHB7564.unmapped-both-read-and-mate	26.0	104.0	582.0	12.0	5843.0	1558.0	13695.0
MUX10044.WHB7565.unmapped-both-read-and-mate	19.0	31.0	362.0	9.0	2523.0	719.0	7646.0
MUX10044.WHB7566.unmapped-both-read-and-mate	8.0	23.0	515.0	2.0	1327.0	325.0	9209.0
MUX10044.WHB7567.unmapped-both-read-and-mate	29.0	70.0	537.0	14.0	5576.0	1434.0	12753.0
MUX10045.WHB7568.unmapped-both-read-and-mate	48.0	87.0	467.0	25.0	5702.0	1615.0	11247.0
MUX10045.WHB7569.unmapped-both-read-and-mate	34.0	73.0	581.0	10.0	3432.0	962.0	9501.0
MUX10045.WHB7570.unmapped-both-read-and-mate	17.0	30.0	544.0	7.0	2428.0	695.0	8198.0
MUX10045.WHB7576.unmapped-both-read-and-mate	25.0	41.0	497.0	17.0	2418.0	645.0	7419.0
MUX10046.WHB7571.unmapped-both-read-and-mate	5.0	21.0	554.0	3.0	1348.0	402.0	8355.0
MUX10046.WHB7573.unmapped-both-read-and-mate	38.0	78.0	412.0	23.0	5488.0	1521.0	10996.0
MUX10046.WHB7574.unmapped-both-read-and-mate	16.0	21.0	520.0	6.0	1529.0	460.0	7236.0
MUX10046.WHB7575.unmapped-both-read-and-mate	25.0	41.0	573.0	7.0	2966.0	841.0	11551.0
MUX10046.WHB7577.unmapped-both-read-and-mate	26.0	56.0	566.0	7.0	3282.0	1034.0	10242.0
MUX10047.WHB7578.unmapped-both-read-and-mate	26.0	28.0	465.0	4.0	1210.0	390.0	6943.0
MUX10047.WHB7579.unmapped-both-read-and-mate	29.0	43.0	443.0	12.0	2364.0	731.0	7840.0
MUX10047.WHB7580.unmapped-both-read-and-mate	23.0	25.0	472.0	6.0	1466.0	452.0	6251.0
MUX10047.WHB7581.unmapped-both-read-and-mate	9.0	12.0	435.0	2.0	935.0	270.0	5789.0
MUX10047.WHB7583.unmapped-both-read-and-mate	23.0	60.0	476.0	12.0	3978.0	952.0	9924.0
MUX10048.WHB7586.unmapped-both-read-and-mate	20.0	46.0	400.0	7.0	2324.0	622.0	6821.0
MUX10048.WHB7588.unmapped-both-read-and-mate	10.0	30.0	417.0	7.0	2036.0	551.0	6394.0
MUX10048.WHB7589.unmapped-both-read-and-mate	7.0	19.0	439.0	7.0	1162.0	359.0	5649.0
MUX10048.WHB7590.unmapped-both-read-and-mate	20.0	33.0	473.0	2.0	1630.0	451.0	6267.0
MUX10049.WHB7591.unmapped-both-read-and-mate	18.0	38.0	799.0	10.0	2280.0	636.0	33753.0
MUX10049.WHB7592.unmapped-both-read-and-mate	10.0	31.0	831.0	6.0	1883.0	598.0	33364.0
