Sample	Pseudomonadaceae	Hominidae	Sphingomonadaceae	Burkholderiaceae	Alcaligenaceae	Other	Unclassified
MUX4150.WHH2189.unmapped-both-read-and-mate	18.0	784.0	2.0	1.0	nan	35.0	4647.0
MUX4150.WHH2203.unmapped-both-read-and-mate	27.0	648.0	23.0	5.0	nan	69.0	4471.0
MUX4150.WHH2208.unmapped-both-read-and-mate	6.0	599.0	nan	16.0	1.0	63.0	4036.0
MUX4150.WHH2209.unmapped-both-read-and-mate	10.0	533.0	2.0	1.0	nan	53.0	3866.0
MUX4212.WHH2329.unmapped-both-read-and-mate	109439.0	515.0	12253.0	840.0	1805.0	75355.0	76341.0
MUX4212.WHH2332.unmapped-both-read-and-mate	275849.0	619.0	7466.0	688.0	3997.0	58023.0	66650.0
MUX4212.WHH2357.unmapped-both-read-and-mate	2421.0	818.0	8560.0	779.0	347.0	70681.0	71856.0
MUX4212.WHH2395.unmapped-both-read-and-mate	400203.0	697.0	2247.0	549.0	5557.0	61644.0	61131.0
MUX5167.WHB587.unmapped-both-read-and-mate	2.0	458.0	nan	214.0	nan	80.0	6457.0
MUX5168.WHB598.unmapped-both-read-and-mate	3.0	441.0	5.0	127.0	nan	56.0	3972.0
MUX5168.WHB607.unmapped-both-read-and-mate	3.0	413.0	9.0	274.0	nan	196.0	4008.0
MUX5169.WHB609.unmapped-both-read-and-mate	nan	468.0	3.0	279.0	nan	78.0	3911.0
MUX5170.WHB636.unmapped-both-read-and-mate	1.0	500.0	2.0	287.0	nan	77.0	7612.0
MUX5171.WHB655.unmapped-both-read-and-mate	1.0	485.0	3.0	261.0	nan	53.0	6027.0
MUX5172.WHB660.unmapped-both-read-and-mate	6.0	578.0	3.0	283.0	nan	133.0	6578.0
MUX5172.WHB662.unmapped-both-read-and-mate	1.0	464.0	6.0	219.0	1.0	70.0	5682.0
MUX5173.WHB673.unmapped-both-read-and-mate	3.0	524.0	3.0	250.0	nan	79.0	6675.0
MUX5179.WHB535.unmapped-both-read-and-mate	21.0	472.0	9.0	291.0	2.0	313.0	9544.0
MUX5179.WHB541.unmapped-both-read-and-mate	5.0	418.0	7.0	914.0	nan	556.0	7125.0
MUX5180.WHB549.unmapped-both-read-and-mate	1.0	569.0	8.0	649.0	nan	163.0	8322.0
MUX5181.WHB558.unmapped-both-read-and-mate	4.0	423.0	18.0	494.0	nan	203.0	5593.0
MUX5183.WHB696.unmapped-both-read-and-mate	5.0	432.0	3.0	4.0	4.0	206.0	5774.0
MUX5183.WHB698.unmapped-both-read-and-mate	10.0	527.0	3.0	2.0	1.0	4007.0	15649.0
MUX5184.WHB710.unmapped-both-read-and-mate	nan	440.0	nan	1.0	nan	42.0	4088.0
MUX5185.WHB711.unmapped-both-read-and-mate	nan	445.0	nan	2.0	nan	30.0	4117.0
MUX5185.WHB721.unmapped-both-read-and-mate	8.0	363.0	1.0	1.0	nan	61.0	3161.0
MUX5186.WHB722.unmapped-both-read-and-mate	7.0	407.0	2.0	1.0	nan	42.0	4361.0
MUX5188.WHB747.unmapped-both-read-and-mate	1.0	509.0	2.0	2.0	nan	41.0	6893.0
MUX5188.WHB757.unmapped-both-read-and-mate	nan	293.0	1.0	1.0	nan	62.0	7235.0
MUX5227.WHB769.unmapped-both-read-and-mate	5.0	422.0	5.0	nan	1.0	83.0	3411.0
MUX5228.WHB578.unmapped-both-read-and-mate	1.0	418.0	nan	153.0	1.0	71.0	3431.0
MUX5229.WHB683.unmapped-both-read-and-mate	3.0	342.0	1.0	1.0	1.0	42.0	3098.0
MUX5234.WHB816.unmapped-both-read-and-mate	1.0	489.0	1.0	10.0	nan	78.0	7092.0
MUX5234.WHB825.unmapped-both-read-and-mate	7.0	368.0	3.0	10.0	3.0	495.0	6697.0
MUX5235.WHB826.unmapped-both-read-and-mate	nan	371.0	5.0	5.0	1.0	48.0	4317.0
MUX5235.WHB836.unmapped-both-read-and-mate	3.0	443.0	nan	8.0	nan	92.0	5599.0
MUX5236.WHB839.unmapped-both-read-and-mate	9.0	388.0	4.0	22.0	4.0	789.0	4873.0
MUX5236.WHB840.unmapped-both-read-and-mate	1.0	386.0	3.0	4.0	1.0	73.0	4121.0
MUX5236.WHB845.unmapped-both-read-and-mate	4.0	441.0	1.0	2.0	nan	47.0	4184.0
MUX5240.WHB619.unmapped-both-read-and-mate	6.0	572.0	3.0	371.0	2.0	155.0	4916.0
MUX5240.WHB621.unmapped-both-read-and-mate	2.0	505.0	4.0	235.0	nan	124.0	4519.0
MUX5240.WHB622.unmapped-both-read-and-mate	2.0	449.0	4.0	173.0	nan	80.0	3861.0
MUX5240.WHB624.unmapped-both-read-and-mate	9.0	536.0	6.0	228.0	nan	102.0	4311.0
MUX5242.WHB595.unmapped-both-read-and-mate	2.0	608.0	2.0	194.0	1.0	136.0	5222.0
MUX5243.WHH5006.unmapped-both-read-and-mate	7.0	350.0	8.0	3.0	1.0	176.0	3105.0
MUX5243.WHH5014.unmapped-both-read-and-mate	nan	434.0	nan	2.0	nan	29.0	3664.0
MUX5244.WHH5033.unmapped-both-read-and-mate	1.0	575.0	1.0	nan	1.0	48.0	7725.0
MUX5246.WHH5062.unmapped-both-read-and-mate	4.0	548.0	nan	3.0	nan	35.0	6619.0
MUX5246.WHH5063.unmapped-both-read-and-mate	nan	537.0	3.0	1.0	1.0	33.0	6014.0
MUX5246.WHH5064.unmapped-both-read-and-mate	1.0	498.0	nan	nan	nan	8.0	5924.0
MUX5247.WHH5072.unmapped-both-read-and-mate	13.0	574.0	1.0	22.0	nan	3679.0	15413.0
MUX5247.WHH5074.unmapped-both-read-and-mate	25.0	643.0	nan	12.0	nan	4369.0	17662.0
MUX5250.WHH5109.unmapped-both-read-and-mate	61.0	375.0	8.0	10009.0	15.0	846.0	5260.0
MUX5255.WHH5000.unmapped-both-read-and-mate	1.0	501.0	nan	7.0	nan	49.0	6160.0
MUX5261.WHH5159.unmapped-both-read-and-mate	2.0	449.0	nan	379.0	1.0	50.0	7780.0
MUX5261.WHH5160.unmapped-both-read-and-mate	7.0	460.0	5.0	555.0	3.0	59.0	7407.0
