Sample	Pseudomonas	Homo	Ralstonia	Alcaligenes	Sphingomonas	Other	Unclassified
MUX5179.WHB541.unmapped-both-read-and-mate	5.0	418.0	120.0	nan	2.0	1355.0	7125.0
MUX5180.WHB549.unmapped-both-read-and-mate	1.0	569.0	103.0	nan	6.0	711.0	8322.0
MUX5181.WHB558.unmapped-both-read-and-mate	4.0	423.0	48.0	nan	11.0	656.0	5593.0
MUX5183.WHB696.unmapped-both-read-and-mate	5.0	432.0	1.0	nan	2.0	214.0	5774.0
MUX5183.WHB698.unmapped-both-read-and-mate	10.0	527.0	1.0	nan	2.0	4010.0	15649.0
MUX5184.WHB710.unmapped-both-read-and-mate	nan	440.0	nan	nan	nan	43.0	4088.0
MUX5185.WHB711.unmapped-both-read-and-mate	nan	445.0	nan	nan	nan	32.0	4117.0
MUX5185.WHB721.unmapped-both-read-and-mate	8.0	363.0	nan	nan	1.0	62.0	3161.0
MUX5186.WHB722.unmapped-both-read-and-mate	7.0	407.0	nan	nan	1.0	44.0	4361.0
MUX5188.WHB747.unmapped-both-read-and-mate	1.0	509.0	2.0	nan	1.0	42.0	6893.0
MUX5188.WHB757.unmapped-both-read-and-mate	nan	293.0	nan	nan	1.0	63.0	7235.0
MUX5227.WHB769.unmapped-both-read-and-mate	5.0	422.0	nan	nan	2.0	87.0	3411.0
MUX5228.WHB578.unmapped-both-read-and-mate	1.0	418.0	21.0	nan	nan	204.0	3431.0
MUX5229.WHB683.unmapped-both-read-and-mate	3.0	342.0	nan	1.0	1.0	43.0	3098.0
MUX5234.WHB816.unmapped-both-read-and-mate	1.0	489.0	nan	nan	nan	89.0	7092.0
MUX5234.WHB825.unmapped-both-read-and-mate	7.0	368.0	nan	nan	2.0	509.0	6697.0
MUX5235.WHB826.unmapped-both-read-and-mate	nan	371.0	nan	nan	4.0	55.0	4317.0
MUX5235.WHB836.unmapped-both-read-and-mate	3.0	443.0	nan	nan	nan	100.0	5599.0
MUX5236.WHB839.unmapped-both-read-and-mate	9.0	388.0	nan	nan	2.0	817.0	4873.0
MUX5236.WHB840.unmapped-both-read-and-mate	1.0	386.0	nan	nan	2.0	79.0	4121.0
MUX5236.WHB845.unmapped-both-read-and-mate	4.0	441.0	nan	nan	1.0	49.0	4184.0
MUX5240.WHB619.unmapped-both-read-and-mate	6.0	572.0	64.0	nan	1.0	466.0	4916.0
MUX5240.WHB621.unmapped-both-read-and-mate	2.0	505.0	45.0	nan	nan	318.0	4519.0
MUX5240.WHB622.unmapped-both-read-and-mate	2.0	449.0	29.0	nan	3.0	225.0	3861.0
MUX5240.WHB624.unmapped-both-read-and-mate	9.0	536.0	36.0	nan	1.0	299.0	4311.0
MUX5242.WHB595.unmapped-both-read-and-mate	2.0	608.0	33.0	nan	1.0	299.0	5222.0
MUX5243.WHH5006.unmapped-both-read-and-mate	7.0	350.0	2.0	nan	4.0	182.0	3105.0
MUX5243.WHH5014.unmapped-both-read-and-mate	nan	434.0	nan	nan	nan	31.0	3664.0
MUX5244.WHH5033.unmapped-both-read-and-mate	1.0	575.0	nan	nan	1.0	49.0	7725.0
MUX5246.WHH5062.unmapped-both-read-and-mate	4.0	548.0	2.0	nan	nan	36.0	6619.0
