Sample	Proteobacteria	Chordata	Actinobacteria	Firmicutes	Bacteroidetes	Other	Unclassified
MUX4127.WHH1854.unmapped-both-read-and-mate	51.0	709.0	7.0	3.0	1.0	15.0	4145.0
MUX4127.WHH1895.unmapped-both-read-and-mate	28.0	746.0	4.0	1.0	1.0	7.0	4751.0
MUX4127.WHH1897.unmapped-both-read-and-mate	58.0	605.0	19.0	1.0	2.0	6.0	3908.0
MUX4150.WHH2127.unmapped-both-read-and-mate	39.0	613.0	3.0	2.0	nan	3.0	4025.0
MUX4150.WHH2168.unmapped-both-read-and-mate	24.0	578.0	1.0	nan	1.0	6.0	3720.0
MUX4150.WHH2189.unmapped-both-read-and-mate	49.0	784.0	1.0	2.0	1.0	3.0	4647.0
MUX4150.WHH2203.unmapped-both-read-and-mate	111.0	648.0	7.0	3.0	1.0	2.0	4471.0
MUX4150.WHH2208.unmapped-both-read-and-mate	73.0	599.0	2.0	2.0	2.0	7.0	4036.0
MUX4150.WHH2209.unmapped-both-read-and-mate	55.0	533.0	4.0	1.0	1.0	5.0	3866.0
MUX4212.WHH2329.unmapped-both-read-and-mate	158710.0	515.0	40194.0	53.0	28.0	707.0	76341.0
MUX4212.WHH2332.unmapped-both-read-and-mate	314751.0	619.0	30592.0	57.0	38.0	585.0	66650.0
MUX4212.WHH2357.unmapped-both-read-and-mate	48980.0	818.0	33012.0	44.0	34.0	718.0	71856.0
MUX4212.WHH2395.unmapped-both-read-and-mate	429781.0	697.0	39823.0	47.0	32.0	517.0	61131.0
MUX5167.WHB587.unmapped-both-read-and-mate	278.0	458.0	11.0	2.0	1.0	4.0	6457.0
MUX5168.WHB598.unmapped-both-read-and-mate	175.0	441.0	9.0	1.0	nan	6.0	3972.0
MUX5168.WHB607.unmapped-both-read-and-mate	417.0	413.0	46.0	1.0	1.0	17.0	4008.0
MUX5169.WHB609.unmapped-both-read-and-mate	348.0	468.0	4.0	4.0	2.0	2.0	3911.0
MUX5170.WHB636.unmapped-both-read-and-mate	352.0	500.0	8.0	2.0	nan	5.0	7612.0
MUX5171.WHB655.unmapped-both-read-and-mate	304.0	485.0	4.0	2.0	nan	8.0	6027.0
MUX5172.WHB660.unmapped-both-read-and-mate	396.0	578.0	25.0	2.0	nan	2.0	6578.0
MUX5172.WHB662.unmapped-both-read-and-mate	282.0	464.0	9.0	2.0	4.0	0.0	5682.0
MUX5173.WHB673.unmapped-both-read-and-mate	312.0	524.0	13.0	5.0	2.0	3.0	6675.0
MUX5179.WHB535.unmapped-both-read-and-mate	470.0	472.0	84.0	46.0	18.0	18.0	9544.0
MUX5179.WHB541.unmapped-both-read-and-mate	1183.0	418.0	259.0	24.0	1.0	15.0	7125.0
MUX5180.WHB549.unmapped-both-read-and-mate	794.0	569.0	14.0	4.0	1.0	8.0	8322.0
MUX5181.WHB558.unmapped-both-read-and-mate	681.0	423.0	19.0	13.0	2.0	4.0	5593.0
MUX5183.WHB696.unmapped-both-read-and-mate	82.0	432.0	114.0	5.0	8.0	13.0	5774.0
MUX5183.WHB698.unmapped-both-read-and-mate	31.0	527.0	2186.0	1530.0	nan	276.0	15649.0
MUX5184.WHB710.unmapped-both-read-and-mate	10.0	440.0	24.0	3.0	nan	6.0	4088.0
MUX5185.WHB711.unmapped-both-read-and-mate	20.0	445.0	6.0	2.0	1.0	3.0	4117.0
MUX5185.WHB721.unmapped-both-read-and-mate	44.0	363.0	20.0	6.0	nan	1.0	3161.0
MUX5186.WHB722.unmapped-both-read-and-mate	35.0	407.0	11.0	3.0	2.0	1.0	4361.0
MUX5188.WHB747.unmapped-both-read-and-mate	20.0	509.0	15.0	2.0	nan	9.0	6893.0
MUX5188.WHB757.unmapped-both-read-and-mate	14.0	293.0	34.0	8.0	4.0	4.0	7235.0
MUX5227.WHB769.unmapped-both-read-and-mate	76.0	422.0	9.0	3.0	2.0	4.0	3411.0
MUX5228.WHB578.unmapped-both-read-and-mate	204.0	418.0	18.0	1.0	2.0	1.0	3431.0
MUX5229.WHB683.unmapped-both-read-and-mate	15.0	342.0	3.0	1.0	1.0	28.0	3098.0
MUX5234.WHB816.unmapped-both-read-and-mate	76.0	489.0	9.0	nan	1.0	4.0	7092.0
MUX5234.WHB825.unmapped-both-read-and-mate	87.0	368.0	220.0	176.0	nan	35.0	6697.0
MUX5235.WHB826.unmapped-both-read-and-mate	51.0	371.0	6.0	1.0	1.0	0.0	4317.0
MUX5235.WHB836.unmapped-both-read-and-mate	89.0	443.0	10.0	2.0	nan	2.0	5599.0
MUX5236.WHB839.unmapped-both-read-and-mate	115.0	388.0	691.0	5.0	2.0	15.0	4873.0
MUX5236.WHB840.unmapped-both-read-and-mate	60.0	386.0	11.0	3.0	nan	8.0	4121.0
MUX5236.WHB845.unmapped-both-read-and-mate	49.0	441.0	1.0	1.0	nan	3.0	4184.0
MUX5240.WHB619.unmapped-both-read-and-mate	489.0	572.0	19.0	9.0	14.0	6.0	4916.0
MUX5240.WHB621.unmapped-both-read-and-mate	341.0	505.0	13.0	3.0	6.0	2.0	4519.0
MUX5240.WHB622.unmapped-both-read-and-mate	224.0	449.0	11.0	4.0	15.0	5.0	3861.0
MUX5240.WHB624.unmapped-both-read-and-mate	310.0	536.0	12.0	8.0	8.0	7.0	4311.0
MUX5242.WHB595.unmapped-both-read-and-mate	263.0	608.0	44.0	9.0	14.0	5.0	5222.0
MUX5243.WHH5006.unmapped-both-read-and-mate	159.0	350.0	21.0	5.0	4.0	6.0	3105.0
MUX5243.WHH5014.unmapped-both-read-and-mate	23.0	434.0	5.0	1.0	nan	2.0	3664.0
MUX5244.WHH5033.unmapped-both-read-and-mate	20.0	575.0	9.0	5.0	3.0	14.0	7725.0
MUX5246.WHH5062.unmapped-both-read-and-mate	18.0	548.0	12.0	4.0	6.0	2.0	6619.0
MUX5246.WHH5063.unmapped-both-read-and-mate	21.0	537.0	9.0	2.0	nan	6.0	6014.0
MUX5246.WHH5064.unmapped-both-read-and-mate	5.0	498.0	2.0	1.0	1.0	0.0	5924.0
MUX5247.WHH5072.unmapped-both-read-and-mate	52.0	574.0	2058.0	1373.0	1.0	231.0	15413.0
MUX5247.WHH5074.unmapped-both-read-and-mate	67.0	643.0	2357.0	1693.0	2.0	287.0	17662.0
MUX5250.WHH5109.unmapped-both-read-and-mate	10884.0	375.0	29.0	3.0	3.0	20.0	5260.0
MUX5255.WHH5000.unmapped-both-read-and-mate	36.0	501.0	13.0	1.0	4.0	3.0	6160.0
MUX5261.WHH5159.unmapped-both-read-and-mate	424.0	449.0	5.0	1.0	1.0	1.0	7780.0
MUX5261.WHH5160.unmapped-both-read-and-mate	609.0	460.0	11.0	1.0	1.0	7.0	7407.0
MUX5261.WHH5161.unmapped-both-read-and-mate	927.0	534.0	7.0	2.0	1.0	1.0	8545.0
