Sample	Bacteria	Eukaryota	Viruses	Archaea	Unclassified
MUX5172.WHB660.unmapped-both-read-and-mate	425.0	578.0	nan	nan	6578.0
MUX5172.WHB662.unmapped-both-read-and-mate	297.0	464.0	nan	nan	5682.0
MUX5173.WHB673.unmapped-both-read-and-mate	332.0	524.0	3.0	nan	6675.0
MUX5179.WHB535.unmapped-both-read-and-mate	632.0	472.0	4.0	nan	9544.0
MUX5179.WHB541.unmapped-both-read-and-mate	1478.0	418.0	3.0	1.0	7125.0
MUX5180.WHB549.unmapped-both-read-and-mate	819.0	569.0	2.0	nan	8322.0
MUX5181.WHB558.unmapped-both-read-and-mate	719.0	423.0	nan	nan	5593.0
MUX5183.WHB696.unmapped-both-read-and-mate	221.0	432.0	1.0	nan	5774.0
MUX5183.WHB698.unmapped-both-read-and-mate	4022.0	527.0	1.0	nan	15649.0
MUX5184.WHB710.unmapped-both-read-and-mate	38.0	440.0	3.0	2.0	4088.0
MUX5185.WHB711.unmapped-both-read-and-mate	32.0	445.0	nan	nan	4117.0
MUX5185.WHB721.unmapped-both-read-and-mate	71.0	363.0	nan	nan	3161.0
MUX5186.WHB722.unmapped-both-read-and-mate	52.0	407.0	nan	nan	4361.0
MUX5188.WHB747.unmapped-both-read-and-mate	40.0	509.0	4.0	2.0	6893.0
MUX5188.WHB757.unmapped-both-read-and-mate	63.0	293.0	1.0	nan	7235.0
MUX5227.WHB769.unmapped-both-read-and-mate	92.0	422.0	2.0	nan	3411.0
MUX5228.WHB578.unmapped-both-read-and-mate	226.0	418.0	nan	nan	3431.0
MUX5229.WHB683.unmapped-both-read-and-mate	26.0	342.0	22.0	nan	3098.0
MUX5234.WHB816.unmapped-both-read-and-mate	90.0	489.0	nan	nan	7092.0
MUX5234.WHB825.unmapped-both-read-and-mate	514.0	368.0	4.0	nan	6697.0
MUX5235.WHB826.unmapped-both-read-and-mate	59.0	371.0	nan	nan	4317.0
MUX5235.WHB836.unmapped-both-read-and-mate	103.0	443.0	nan	nan	5599.0
MUX5236.WHB839.unmapped-both-read-and-mate	826.0	388.0	2.0	nan	4873.0
MUX5236.WHB840.unmapped-both-read-and-mate	78.0	386.0	4.0	nan	4121.0
MUX5236.WHB845.unmapped-both-read-and-mate	54.0	441.0	nan	nan	4184.0
MUX5240.WHB619.unmapped-both-read-and-mate	536.0	572.0	1.0	nan	4916.0
MUX5240.WHB621.unmapped-both-read-and-mate	364.0	505.0	1.0	nan	4519.0
MUX5240.WHB622.unmapped-both-read-and-mate	255.0	449.0	4.0	nan	3861.0
MUX5240.WHB624.unmapped-both-read-and-mate	344.0	536.0	1.0	nan	4311.0
MUX5242.WHB595.unmapped-both-read-and-mate	333.0	608.0	2.0	nan	5222.0
MUX5243.WHH5006.unmapped-both-read-and-mate	190.0	350.0	5.0	nan	3105.0
MUX5243.WHH5014.unmapped-both-read-and-mate	31.0	434.0	nan	nan	3664.0
MUX5244.WHH5033.unmapped-both-read-and-mate	37.0	575.0	14.0	nan	7725.0
MUX5246.WHH5062.unmapped-both-read-and-mate	42.0	548.0	nan	nan	6619.0
MUX5246.WHH5063.unmapped-both-read-and-mate	33.0	537.0	5.0	nan	6014.0
MUX5246.WHH5064.unmapped-both-read-and-mate	9.0	498.0	nan	nan	5924.0
MUX5247.WHH5072.unmapped-both-read-and-mate	3714.0	574.0	nan	1.0	15413.0
MUX5247.WHH5074.unmapped-both-read-and-mate	4404.0	643.0	2.0	nan	17662.0
MUX5250.WHH5109.unmapped-both-read-and-mate	10939.0	375.0	nan	nan	5260.0
MUX5255.WHH5000.unmapped-both-read-and-mate	54.0	501.0	3.0	nan	6160.0
MUX5261.WHH5159.unmapped-both-read-and-mate	432.0	449.0	nan	nan	7780.0
MUX5261.WHH5160.unmapped-both-read-and-mate	629.0	460.0	nan	nan	7407.0
MUX5261.WHH5161.unmapped-both-read-and-mate	938.0	534.0	nan	nan	8545.0
MUX5264.WHH5170.unmapped-both-read-and-mate	17074.0	927.0	nan	nan	55702.0
MUX5266.WHH5178.unmapped-both-read-and-mate	3367.0	405.0	2.0	nan	6300.0
MUX5266.WHH5188.unmapped-both-read-and-mate	57945.0	2218.0	3.0	4.0	201374.0
MUX5287.WHH4826.unmapped-both-read-and-mate	123.0	618.0	2.0	nan	6806.0
MUX5287.WHH4831.unmapped-both-read-and-mate	26.0	520.0	nan	nan	5034.0
MUX5288.WHH4837.unmapped-both-read-and-mate	30.0	480.0	4.0	nan	4430.0
MUX5288.WHH4844.unmapped-both-read-and-mate	23.0	400.0	3.0	1.0	4027.0
MUX5295.WHH4869.unmapped-both-read-and-mate	27.0	401.0	1.0	nan	3619.0
MUX5297.WHH4901.unmapped-both-read-and-mate	358.0	386.0	nan	nan	4035.0
MUX5299.WHH4929.unmapped-both-read-and-mate	39.0	502.0	2.0	nan	6421.0
MUX5299.WHH4933.unmapped-both-read-and-mate	17.0	462.0	1.0	nan	6204.0
MUX5300.WHH4939.unmapped-both-read-and-mate	47.0	423.0	nan	nan	5550.0
MUX5301.WHB829.unmapped-both-read-and-mate	200.0	352.0	2.0	nan	4891.0
MUX5301.WHB859.unmapped-both-read-and-mate	121.0	420.0	nan	nan	4945.0
MUX5301.WHH5002.unmapped-both-read-and-mate	71.0	567.0	10.0	nan	6288.0
MUX5303.WHH5035.unmapped-both-read-and-mate	7517.0	854.0	nan	nan	31380.0
MUX5304.WHH5077.unmapped-both-read-and-mate	3973.0	549.0	2.0	2.0	9154.0
MUX5305.WHH4949.unmapped-both-read-and-mate	30.0	493.0	nan	nan	7443.0
MUX5306.WHH4953.unmapped-both-read-and-mate	29.0	458.0	nan	nan	7311.0
MUX5306.WHH4957.unmapped-both-read-and-mate	25.0	478.0	nan	nan	6658.0
MUX5310.WHH4978.unmapped-both-read-and-mate	42.0	406.0	nan	nan	3742.0
MUX5310.WHH4979.unmapped-both-read-and-mate	51.0	440.0	1.0	nan	4083.0
MUX5310.WHH4980.unmapped-both-read-and-mate	25.0	408.0	nan	nan	4091.0
MUX5310.WHH4987.unmapped-both-read-and-mate	36.0	331.0	nan	nan	3302.0
MUX5311.WHB876.unmapped-both-read-and-mate	3827.0	328.0	2.0	nan	3729.0
MUX5311.WHB879.unmapped-both-read-and-mate	60672.0	1776.0	nan	1.0	179386.0
MUX5311.WHB880.unmapped-both-read-and-mate	60027.0	1927.0	2.0	nan	182826.0
MUX5312.WHB904.unmapped-both-read-and-mate	6245.0	415.0	3.0	1.0	5226.0
MUX5312.WHH4990.unmapped-both-read-and-mate	406.0	376.0	1.0	nan	3817.0
MUX5323.WHB742.unmapped-both-read-and-mate	121.0	690.0	nan	1.0	12159.0
MUX5325.WHH4897.unmapped-both-read-and-mate	874.0	722.0	1.0	nan	12708.0
MUX5328.WHB907.unmapped-both-read-and-mate	9590.0	334.0	nan	nan	4938.0
MUX5328.WHB913.unmapped-both-read-and-mate	7874.0	334.0	2.0	nan	3968.0
MUX5328.WHB914.unmapped-both-read-and-mate	1394.0	373.0	nan	nan	3700.0
MUX5330.WHB929.unmapped-both-read-and-mate	4141.0	426.0	4.0	nan	5499.0
MUX5331.WHB942.unmapped-both-read-and-mate	1032.0	396.0	nan	nan	4204.0
MUX5331.WHB943.unmapped-both-read-and-mate	1407.0	400.0	nan	nan	4378.0
MUX5339.WHB951.unmapped-both-read-and-mate	4740.0	642.0	1.0	nan	11855.0
MUX5340.WHB962.unmapped-both-read-and-mate	493.0	623.0	nan	nan	9875.0
MUX5341.WHB969.unmapped-both-read-and-mate	570.0	468.0	nan	nan	8272.0
MUX5341.WHB975.unmapped-both-read-and-mate	1278.0	562.0	nan	nan	10428.0
MUX5341.WHB979.unmapped-both-read-and-mate	1010.0	605.0	4.0	nan	9941.0
MUX5344.WHB997.unmapped-both-read-and-mate	13585.0	342.0	2.0	nan	6172.0
MUX5347.WHB1023.unmapped-both-read-and-mate	1471.0	315.0	1.0	nan	3561.0
MUX5349.WHB1048.unmapped-both-read-and-mate	830.0	418.0	8.0	nan	4833.0
MUX5849.WHB1082.unmapped-both-read-and-mate	1174.0	352.0	nan	nan	4369.0
MUX5850.WHB1086.unmapped-both-read-and-mate	998.0	407.0	nan	nan	3583.0
MUX5851.WHB1093.unmapped-both-read-and-mate	3313.0	395.0	9.0	nan	4481.0
MUX5851.WHB1094.unmapped-both-read-and-mate	1615.0	381.0	2.0	nan	3928.0
MUX5851.WHB1095.unmapped-both-read-and-mate	1751.0	402.0	22.0	nan	3979.0
MUX5851.WHB1097.unmapped-both-read-and-mate	1426.0	356.0	1.0	1.0	3894.0
MUX8076.WHB3389.unmapped-both-read-and-mate	488123.0	755.0	8.0	35.0	64906.0
MUX8078.WHB3402.unmapped-both-read-and-mate	714484.0	837.0	8.0	38.0	95327.0
MUX8080.WHB3405.unmapped-both-read-and-mate	929208.0	964.0	22.0	42.0	122122.0
MUX8082.WHB3416.unmapped-both-read-and-mate	197037.0	676.0	2.0	10.0	34896.0
MUX8084.WHB3428.unmapped-both-read-and-mate	455556.0	908.0	5.0	23.0	73822.0
MUX8085.WHB3432.unmapped-both-read-and-mate	470062.0	1066.0	5.0	27.0	79564.0
